SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
9	1287	0	0
10	1287	0	0
0	1288	9951792	3564640
9	1288	0	0
10	1288	0	0
0	1289	9951792	3536688
9	1289	0	0
10	1289	0	0
0	1290	9951792	3555331
9	1290	0	0
10	1290	0	0
0	1291	9951792	3565337
9	1291	0	0
10	1291	0	0
0	1292	9951792	3575328
9	1292	0	0
10	1292	0	0
0	1293	9951792	3589223
9	1293	0	0
10	1293	0	0
0	1294	9951792	3624238
9	1294	0	0
10	1294	0	0
0	1295	9951792	3663223
9	1295	0	0
10	1295	0	0
0	1296	9951792	3655640
9	1296	0	0
10	1296	0	0
0	1297	9951792	3632320
9	1297	0	0
10	1297	0	0
0	1298	9951792	3504418
9	1298	0	0
10	1298	0	0
0	2101	5194306	651900
9	2101	2277966	1138983
10	2101	2479520	1239760
0	2102	5087364	635952
9	2102	2345298	1172649
10	2102	2519130	1259565
0	2103	5043198	647230
9	2103	2360916	1180458
10	2103	2547678	1273839
0	2104	5044196	635866
9	2104	2364000	1182000
10	2104	2543596	1271798
0	2105	5018410	646177
9	2105	2372034	1186017
10	2105	2561348	1280674
0	2106	4985044	642197
9	2106	2395700	1197850
10	2106	2571048	1285524
0	2107	4990080	630456
9	2107	2389892	1194946
10	2107	2571820	1285910
0	2108	4942176	647353
9	2108	2401394	1200697
10	2108	2608222	1304111
0	2109	4926558	648162
9	2109	2402908	1201454
10	2109	2622326	1311163
0	2110	4901320	630172
9	2110	2428802	1214401
10	2110	2621670	1310835
0	2111	4897766	644881
9	2111	2425548	1212774
10	2111	2628478	1314239
0	2112	4863960	634392
9	2112	2442676	1221338
10	2112	2645156	1322578
0	2113	4843582	636706
9	2113	2452862	1226431
10	2113	2655348	1327674
0	2114	4881642	649123
9	2114	2422700	1211350
10	2114	2647450	1323725
0	2115	4876436	656875
9	2115	2420724	1210362
10	2115	2654632	1327316
0	2116	4839728	635494
9	2116	2450880	1225440
10	2116	2661184	1330592
0	2117	4832638	630269
9	2117	2456434	1228217
10	2117	2662720	1331360
0	2118	4832488	626527
9	2118	2456260	1228130
10	2118	2663044	1331522
0	2119	4866944	645248
9	2119	2439594	1219797
10	2119	2645254	1322627
0	2120	4865820	642867
9	2120	2422656	1211328
10	2120	2663316	1331658
0	2121	6549544	1488223
9	2121	1630914	815457
10	2121	1771334	885667
0	2122	6526224	1517624
9	2122	1632966	816483
10	2122	1792602	896301
0	2123	4669422	642131
9	2123	2531682	1265841
10	2123	2750688	1375344
0	2124	9951792	3301274
9	2124	0	0
10	2124	0	0
0	2125	8165712	2419632
9	2125	854738	427369
10	2125	931342	465671
0	2126	9951792	3299544
9	2126	0	0
10	2126	0	0
0	2127	6433196	1516340
9	2127	1684528	842264
10	2127	1834068	917034
0	2128	9951792	3254175
9	2128	0	0
10	2128	0	0
0	2129	9951792	3239853
9	2129	0	0
10	2129	0	0
0	2130	9951792	3246442
9	2130	0	0
10	2130	0	0
0	2131	8212020	2363607
9	2131	832674	416337
10	2131	907098	453549
0	2132	6506686	1484948
9	2132	1647876	823938
10	2132	1797230	898615
0	2133	9951792	3247061
9	2133	0	0
10	2133	0	0
0	2134	9951792	3247325
9	2134	0	0
10	2134	0	0
0	2135	8217408	2366725
9	2135	828306	414153
10	2135	906078	453039
0	2136	9951792	3252589
9	2136	0	0
10	2136	0	0
0	2137	9951792	3245393
9	2137	0	0
10	2137	0	0
0	2138	9951792	3250695
9	2138	0	0
10	2138	0	0
0	2139	9951792	3128537
9	2139	0	0
10	2139	0	0
